PERMIT	DRILLER_NAME	COMPLETION_DATE	TOTAL_DEPTH	CASING_TYPE	CASING_DIAM	CASING_DEPTH	PUMPING_RATE	LEVEL_BEFORE	LEVEL_DURING	COLUMN_LENGTH
WO731259	BUNDICK WELL & PUMP	6/10/1978	160	Plastic	2	150	20	10	55	63
WO731260	DELMARVA DRLG CO INC	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
WO731261	DELMARVA DRLG CO INC	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
WO731262	"HALL, S. THOMAS"	1/6/1978	56	Plastic	2	44	10	4	6	Not Available
WO731263	BUNDICK WELL & PUMP	1/15/1978	30	Plastic	2	20	30	5	18	Not Available
WO731264	"LEONARD, WILLIAM C."	9/15/1977	23	Steel	2	5	8	7	23	Not Available
WO731266	"LEONARD, WILLIAM C."	9/9/1977	25	Steel	2	5	7	8	25	Not Available
WO731267	JOHNSON PRESTON S.	4/4/1978	30	Steel	2	30	3	6	30	30
WO731268	IDEAL WELL DRILLERS	4/5/1978	101	Plastic	2	96	70	10	14	Not Available
WO731269	"FORD, MARION O"	1/24/1978	100	Plastic	2	85	10	6	8	Not Available
WO731270	SHANNAHAN WELL CO	11/21/1977	75	Steel	8	54	82	26	34	Not Available
WO731271	"DASHIELL, ELMER"	12/22/1977	110	Plastic	2	100	20	7	14	Not Available
WO731272	"DASHIELL, ELMER"	12/13/1977	70	Plastic	2	60	20	7	13	Not Available
WO731273	"DASHIELL, ELMER"	1/12/1978	30	Plastic	2	20	15	7	14	Not Available
WO731274	IDEAL WELL DRILLERS	1/19/1978	42	Plastic	2	37	70	12	15	Not Available
WO731275	"DASHIELL, ELMER"	7/17/1978	200	Plastic	2	180	50	1	7	Not Available
WO731276	"DASHIELL, ELMER"	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
WO731277	"MARSHALL, EDGAR A"	2/20/1978	120	Plastic	2	110	10	18	24	35
WO731278	"DAISEY, CHARLES I"	12/12/1977	94	Steel	2	88	40	4	22	Not Available
WO731279	IDEAL WELL DRILLERS	12/30/1977	102	Plastic	2	92	75	3	10	Not Available
WO731280	"FORD, MARION O"	3/15/1978	260	Plastic	2	230	12	18	26	Not Available
WO731281	"JARMAN, JOHN F."	1/13/1978	15	Steel	2	15	6	8	15	Not Available
WO731282	"BRITTINGHAM, MAURICE"	3/18/1977	96	Plastic	2	86	20	6	26	Not Available
WO731283	"DASHIELL, ELMER"	1/19/1978	125	Plastic	2	115	15	18	25	Not Available
